SessionID,Severity,Code,Name,Description,ParentFile,Line,Column,Code Unit Database,Code Unit Schema,Code Unit Package,Code Unit Name,Code Unit Id,Code Unit,Code Unit Size,SourceLanguage
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""aws_s3.table_import_from_s3""",raw_schema_team_details.sql,16,0,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'aws_s3.table_import_from_s3' NODE,raw_schema_team_details.sql,16,7,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""aws_s3.table_import_from_s3""",raw_schema_team_competitions_seasons.sql,12,0,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'aws_s3.table_import_from_s3' NODE,raw_schema_team_competitions_seasons.sql,12,7,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""aws_s3.table_import_from_s3""",raw_schema_player_performance.sql,27,0,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'aws_s3.table_import_from_s3' NODE,raw_schema_player_performance.sql,27,7,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""aws_s3.table_import_from_s3""",raw_schema_player_teammates_played_with.sql,17,0,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'aws_s3.table_import_from_s3' NODE,raw_schema_player_teammates_played_with.sql,17,7,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'CreateSchema' NODE,create_final_schema.sql,1,0,N/A,N/A,N/A,final_schema,final_schema,CREATE SCHEMA,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""aws_s3.table_import_from_s3""",raw_schema_player_market_value.sql,10,0,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'aws_s3.table_import_from_s3' NODE,raw_schema_player_market_value.sql,10,7,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""aws_s3.table_import_from_s3""",raw_schema_transfer_history.sql,14,0,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'aws_s3.table_import_from_s3' NODE,raw_schema_transfer_history.sql,14,7,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""aws_s3.table_import_from_s3""",demo.sql,1,0,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'aws_s3.table_import_from_s3' NODE,demo.sql,1,7,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""anon.init""",connecting_rds_to_s3.sql,12,0,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'anon.init' NODE,connecting_rds_to_s3.sql,12,7,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,Critical,SSC-EWI-0001,Error parsing the source code,UNRECOGNIZED TOKEN ON LINE '11' COLUMN '1' OF THE SOURCE CODE STARTING AT 'CREATE'. EXPECTED 'STATEMENT' GRAMMAR. LAST MATCHING TOKEN WAS ';' ON LINE '7' COLUMN '2'. FAILED TOKEN WAS 'CREATE' ON LINE '11' COLUMN '1'.,connecting_rds_to_s3.sql,11,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""aws_commons.create_aws_credentials""",connecting_rds_to_s3.sql,3,0,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'aws_commons.create_aws_credentials' NODE,connecting_rds_to_s3.sql,3,7,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,Critical,SSC-EWI-0001,Error parsing the source code,UNRECOGNIZED TOKEN ON LINE '1' COLUMN '1' OF THE SOURCE CODE STARTING AT 'CREATE'. EXPECTED 'STATEMENT' GRAMMAR.,connecting_rds_to_s3.sql,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'CreateSchema' NODE,create_raw_schema.sql,1,0,N/A,N/A,N/A,raw_schema,raw_schema,CREATE SCHEMA,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'CreateDatabase' NODE,Create_Football_db.sql,1,0,N/A,N/A,N/A,"""Football_DB""","""Football_DB""",CREATE DATABASE,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'CreateSchema' NODE,create_intermediate_schema.sql,1,0,N/A,N/A,N/A,intermediate_schema,intermediate_schema,CREATE SCHEMA,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""aws_s3.table_import_from_s3""",raw_schema_player_national_performance.sql,12,0,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""aws_s3.table_import_from_s3""",raw_schema_children_team.sql,10,0,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""aws_s3.table_import_from_s3""",raw_schema_player_injuries.sql,11,0,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""aws_s3.table_import_from_s3""",raw_schema_player_profile.sql,38,0,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'aws_s3.table_import_from_s3' NODE,raw_schema_player_national_performance.sql,12,7,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'aws_s3.table_import_from_s3' NODE,raw_schema_children_team.sql,10,7,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'aws_s3.table_import_from_s3' NODE,raw_schema_player_injuries.sql,11,7,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'aws_s3.table_import_from_s3' NODE,raw_schema_player_profile.sql,38,7,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
